"Layer 0: model.image_newline, Size: torch.Size([5120])"
"Layer 321: model.layers.35.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 322: model.layers.35.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 323: model.layers.35.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 324: model.layers.35.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 325: model.layers.35.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 326: model.layers.36.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 327: model.layers.36.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 328: model.layers.36.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 329: model.layers.36.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 330: model.layers.36.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 331: model.layers.36.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 332: model.layers.36.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 333: model.layers.36.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 334: model.layers.36.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 335: model.layers.37.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 336: model.layers.37.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 337: model.layers.37.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 338: model.layers.37.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 339: model.layers.37.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 340: model.layers.37.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 341: model.layers.37.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 342: model.layers.37.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 343: model.layers.37.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 344: model.layers.38.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 345: model.layers.38.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 346: model.layers.38.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 347: model.layers.38.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 348: model.layers.38.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 349: model.layers.38.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 350: model.layers.38.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 351: model.layers.38.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 352: model.layers.38.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 353: model.layers.39.self_attn.q_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 354: model.layers.39.self_attn.k_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 355: model.layers.39.self_attn.v_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 356: model.layers.39.self_attn.o_proj.weight, Size: torch.Size([5120, 5120])"
"Layer 357: model.layers.39.mlp.gate_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 358: model.layers.39.mlp.up_proj.weight, Size: torch.Size([13824, 5120])"
"Layer 359: model.layers.39.mlp.down_proj.weight, Size: torch.Size([5120, 13824])"
"Layer 360: model.layers.39.input_layernorm.weight, Size: torch.Size([5120])"
"Layer 361: model.layers.39.post_attention_layernorm.weight, Size: torch.Size([5120])"
"Layer 362: model.norm.weight, Size: torch.Size([5120])"
"Layer 363: model.vision_tower.vision_tower.vision_model.embeddings.class_embedding, Size: torch.Size([1024])"
"Layer 364: model.vision_tower.vision_tower.vision_model.embeddings.patch_embedding.weight, Size: torch.Size([1024, 3, 14, 14])"
"Layer 365: model.vision_tower.vision_tower.vision_model.embeddings.position_embedding.weight, Size: torch.Size([577, 1024])"
"Layer 366: model.vision_tower.vision_tower.vision_model.pre_layrnorm.weight, Size: torch.Size([1024])"
"Layer 367: model.vision_tower.vision_tower.vision_model.pre_layrnorm.bias, Size: torch.Size([1024])"
"Layer 368: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 369: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 370: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 371: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 372: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 373: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 374: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 375: model.vision_tower.vision_tower.vision_model.encoder.layers.0.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 376: model.vision_tower.vision_tower.vision_model.encoder.layers.0.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 377: model.vision_tower.vision_tower.vision_model.encoder.layers.0.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 378: model.vision_tower.vision_tower.vision_model.encoder.layers.0.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 379: model.vision_tower.vision_tower.vision_model.encoder.layers.0.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 380: model.vision_tower.vision_tower.vision_model.encoder.layers.0.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 381: model.vision_tower.vision_tower.vision_model.encoder.layers.0.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 382: model.vision_tower.vision_tower.vision_model.encoder.layers.0.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 383: model.vision_tower.vision_tower.vision_model.encoder.layers.0.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 384: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 385: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 386: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 387: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 388: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 389: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 390: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 391: model.vision_tower.vision_tower.vision_model.encoder.layers.1.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 392: model.vision_tower.vision_tower.vision_model.encoder.layers.1.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 393: model.vision_tower.vision_tower.vision_model.encoder.layers.1.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 394: model.vision_tower.vision_tower.vision_model.encoder.layers.1.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 395: model.vision_tower.vision_tower.vision_model.encoder.layers.1.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 396: model.vision_tower.vision_tower.vision_model.encoder.layers.1.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 397: model.vision_tower.vision_tower.vision_model.encoder.layers.1.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 398: model.vision_tower.vision_tower.vision_model.encoder.layers.1.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 399: model.vision_tower.vision_tower.vision_model.encoder.layers.1.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 400: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 401: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 402: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 403: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 404: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 405: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 406: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 407: model.vision_tower.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 408: model.vision_tower.vision_tower.vision_model.encoder.layers.2.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 409: model.vision_tower.vision_tower.vision_model.encoder.layers.2.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 410: model.vision_tower.vision_tower.vision_model.encoder.layers.2.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 411: model.vision_tower.vision_tower.vision_model.encoder.layers.2.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 412: model.vision_tower.vision_tower.vision_model.encoder.layers.2.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 413: model.vision_tower.vision_tower.vision_model.encoder.layers.2.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 414: model.vision_tower.vision_tower.vision_model.encoder.layers.2.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 415: model.vision_tower.vision_tower.vision_model.encoder.layers.2.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 416: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 417: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 418: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 419: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 420: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 421: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 422: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 423: model.vision_tower.vision_tower.vision_model.encoder.layers.3.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 424: model.vision_tower.vision_tower.vision_model.encoder.layers.3.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 425: model.vision_tower.vision_tower.vision_model.encoder.layers.3.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 426: model.vision_tower.vision_tower.vision_model.encoder.layers.3.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 427: model.vision_tower.vision_tower.vision_model.encoder.layers.3.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 428: model.vision_tower.vision_tower.vision_model.encoder.layers.3.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 429: model.vision_tower.vision_tower.vision_model.encoder.layers.3.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 430: model.vision_tower.vision_tower.vision_model.encoder.layers.3.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 431: model.vision_tower.vision_tower.vision_model.encoder.layers.3.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 432: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 433: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 434: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 435: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 436: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 437: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 438: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 439: model.vision_tower.vision_tower.vision_model.encoder.layers.4.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 440: model.vision_tower.vision_tower.vision_model.encoder.layers.4.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 441: model.vision_tower.vision_tower.vision_model.encoder.layers.4.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 442: model.vision_tower.vision_tower.vision_model.encoder.layers.4.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 443: model.vision_tower.vision_tower.vision_model.encoder.layers.4.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 444: model.vision_tower.vision_tower.vision_model.encoder.layers.4.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 445: model.vision_tower.vision_tower.vision_model.encoder.layers.4.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 446: model.vision_tower.vision_tower.vision_model.encoder.layers.4.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 447: model.vision_tower.vision_tower.vision_model.encoder.layers.4.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 448: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 449: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 450: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 451: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 452: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 453: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 454: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 455: model.vision_tower.vision_tower.vision_model.encoder.layers.5.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 456: model.vision_tower.vision_tower.vision_model.encoder.layers.5.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 457: model.vision_tower.vision_tower.vision_model.encoder.layers.5.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 458: model.vision_tower.vision_tower.vision_model.encoder.layers.5.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 459: model.vision_tower.vision_tower.vision_model.encoder.layers.5.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 460: model.vision_tower.vision_tower.vision_model.encoder.layers.5.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 461: model.vision_tower.vision_tower.vision_model.encoder.layers.5.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 462: model.vision_tower.vision_tower.vision_model.encoder.layers.5.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 463: model.vision_tower.vision_tower.vision_model.encoder.layers.5.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 464: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 465: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 466: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 467: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 468: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 469: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 470: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 471: model.vision_tower.vision_tower.vision_model.encoder.layers.6.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 472: model.vision_tower.vision_tower.vision_model.encoder.layers.6.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 473: model.vision_tower.vision_tower.vision_model.encoder.layers.6.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 474: model.vision_tower.vision_tower.vision_model.encoder.layers.6.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 475: model.vision_tower.vision_tower.vision_model.encoder.layers.6.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 476: model.vision_tower.vision_tower.vision_model.encoder.layers.6.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 477: model.vision_tower.vision_tower.vision_model.encoder.layers.6.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 478: model.vision_tower.vision_tower.vision_model.encoder.layers.6.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 479: model.vision_tower.vision_tower.vision_model.encoder.layers.6.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 480: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 481: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 482: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 483: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 484: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 485: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 486: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 487: model.vision_tower.vision_tower.vision_model.encoder.layers.7.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 488: model.vision_tower.vision_tower.vision_model.encoder.layers.7.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 489: model.vision_tower.vision_tower.vision_model.encoder.layers.7.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 490: model.vision_tower.vision_tower.vision_model.encoder.layers.7.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 491: model.vision_tower.vision_tower.vision_model.encoder.layers.7.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 492: model.vision_tower.vision_tower.vision_model.encoder.layers.7.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 493: model.vision_tower.vision_tower.vision_model.encoder.layers.7.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 494: model.vision_tower.vision_tower.vision_model.encoder.layers.7.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 495: model.vision_tower.vision_tower.vision_model.encoder.layers.7.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 496: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 497: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 498: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 499: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 500: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 501: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 502: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 503: model.vision_tower.vision_tower.vision_model.encoder.layers.8.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 504: model.vision_tower.vision_tower.vision_model.encoder.layers.8.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 505: model.vision_tower.vision_tower.vision_model.encoder.layers.8.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 506: model.vision_tower.vision_tower.vision_model.encoder.layers.8.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 507: model.vision_tower.vision_tower.vision_model.encoder.layers.8.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 508: model.vision_tower.vision_tower.vision_model.encoder.layers.8.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 509: model.vision_tower.vision_tower.vision_model.encoder.layers.8.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 510: model.vision_tower.vision_tower.vision_model.encoder.layers.8.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 511: model.vision_tower.vision_tower.vision_model.encoder.layers.8.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 512: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 513: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 514: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 515: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 516: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 517: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 518: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 519: model.vision_tower.vision_tower.vision_model.encoder.layers.9.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 520: model.vision_tower.vision_tower.vision_model.encoder.layers.9.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 521: model.vision_tower.vision_tower.vision_model.encoder.layers.9.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 522: model.vision_tower.vision_tower.vision_model.encoder.layers.9.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 523: model.vision_tower.vision_tower.vision_model.encoder.layers.9.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 524: model.vision_tower.vision_tower.vision_model.encoder.layers.9.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 525: model.vision_tower.vision_tower.vision_model.encoder.layers.9.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 526: model.vision_tower.vision_tower.vision_model.encoder.layers.9.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 527: model.vision_tower.vision_tower.vision_model.encoder.layers.9.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 528: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 529: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 530: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 531: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 532: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 533: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 534: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 535: model.vision_tower.vision_tower.vision_model.encoder.layers.10.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 536: model.vision_tower.vision_tower.vision_model.encoder.layers.10.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 537: model.vision_tower.vision_tower.vision_model.encoder.layers.10.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 538: model.vision_tower.vision_tower.vision_model.encoder.layers.10.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 539: model.vision_tower.vision_tower.vision_model.encoder.layers.10.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 540: model.vision_tower.vision_tower.vision_model.encoder.layers.10.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 541: model.vision_tower.vision_tower.vision_model.encoder.layers.10.mlp.fc2.bias, Size: torch.Size([1024])"
"Layer 542: model.vision_tower.vision_tower.vision_model.encoder.layers.10.layer_norm2.weight, Size: torch.Size([1024])"
"Layer 543: model.vision_tower.vision_tower.vision_model.encoder.layers.10.layer_norm2.bias, Size: torch.Size([1024])"
"Layer 544: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.k_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 545: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.k_proj.bias, Size: torch.Size([1024])"
"Layer 546: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.v_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 547: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.v_proj.bias, Size: torch.Size([1024])"
"Layer 548: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.q_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 549: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.q_proj.bias, Size: torch.Size([1024])"
"Layer 550: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.out_proj.weight, Size: torch.Size([1024, 1024])"
"Layer 551: model.vision_tower.vision_tower.vision_model.encoder.layers.11.self_attn.out_proj.bias, Size: torch.Size([1024])"
"Layer 552: model.vision_tower.vision_tower.vision_model.encoder.layers.11.layer_norm1.weight, Size: torch.Size([1024])"
"Layer 553: model.vision_tower.vision_tower.vision_model.encoder.layers.11.layer_norm1.bias, Size: torch.Size([1024])"
"Layer 554: model.vision_tower.vision_tower.vision_model.encoder.layers.11.mlp.fc1.weight, Size: torch.Size([4096, 1024])"
"Layer 555: model.vision_tower.vision_tower.vision_model.encoder.layers.11.mlp.fc1.bias, Size: torch.Size([4096])"
"Layer 556: model.vision_tower.vision_tower.vision_model.encoder.layers.11.mlp.fc2.weight, Size: torch.Size([1024, 4096])"
"Layer 557: model.vision_tower.vision_tower.vision_model.encoder.layers.11.mlp.fc2.bias, Size: torch.Size([1024])"
